"popul","TVnews","ClinLR","DoleLR","age","educ","income","vote"
31,2,"Lib","Con",36,"BAdeg","$75K-$90K","Dole"
22,7,"sliLib","Mod",47,"HS","$25K-$30K","Clinton"
87,4,"Mod","Con",41,"Coll","$30K-$35K","Clinton"
50,4,"Lib","Con",44,"HS","$50K-$60K","Clinton"
9,7,"extLib","Mod",79,"MAdeg","$30K-$35K","Dole"
75,4,"Lib","extCon",62,"BAdeg","$105Kplus","Dole"
0,1,"Lib","sliCon",35,"CCdeg","$30K-$35K","Dole"
170,2,"Mod","Mod",53,"HS","$20K-$22K","Dole"
42,0,"Con","sliCon",40,"HS","$35K-$40K","Clinton"
15,7,"Mod","extCon",51,"Coll","$17K-$20K","Clinton"
16,7,"sliLib","Con",41,"Coll","$45K-$50K","Dole"
31,2,"extLib","sliCon",25,"Coll","$22K-$25K","Dole"
0,2,"Lib","Con",38,"HS","$7K-$9K","Dole"
430,5,"sliCon","extCon",53,"HS","$50K-$60K","Clinton"
900,2,"sliLib","extCon",28,"HS","$17K-$20K","Clinton"
170,2,"Lib","Con",21,"HS","$12K-$13K","Dole"
15,4,"sliLib","Mod",37,"BAdeg","$14K-$15K","Clinton"
1,3,"sliLib","sliCon",41,"HS","$35K-$40K","Clinton"
510,1,"Mod","Con",31,"HS","$22K-$25K","Clinton"
31,3,"Lib","Con",21,"Coll","$75K-$90K","Dole"
23,5,"Mod","Con",70,"Coll","$40K-$45K","Clinton"
64,2,"extLib","sliLib",24,"HSdrop","$9K-$10K","Clinton"
16,7,"Lib","Con",45,"BAdeg","$75K-$90K","Dole"
0,0,"Mod","sliCon",32,"HS","$20K-$22K","Dole"
190,0,"sliCon","sliLib",37,"HS","$12K-$13K","Clinton"
8,0,"sliCon","sliCon",21,"HS","$25K-$30K","Clinton"
18,5,"Lib","sliCon",53,"CCdeg","$90K-$105K","Dole"
3,3,"sliCon","Mod",48,"HS","$3K-$5K","Clinton"
0,2,"Mod","sliCon",34,"Coll","$9K-$10K","Dole"
12,3,"Mod","Con",27,"CCdeg","$105Kplus","Clinton"
0,1,"Mod","Con",41,"Coll","$45K-$50K","Clinton"
330,5,"sliLib","Con",31,"Coll","$3Kminus","Clinton"
16,3,"Lib","Con",65,"Coll","$50K-$60K","Dole"
0,2,"Lib","Con",31,"CCdeg","$60K-$75K","Dole"
12,7,"Mod","Con",71,"HS","$35K-$40K","Clinton"
50,7,"sliLib","Mod",67,"HS","$14K-$15K","Clinton"
0,2,"sliLib","Con",31,"MAdeg","$60K-$75K","Dole"
290,1,"sliLib","Con",37,"Coll","$60K-$75K","Clinton"
5,5,"sliLib","Con",24,"BAdeg","$3Kminus","Clinton"
900,2,"Lib","sliCon",73,"HSdrop","$22K-$25K","Clinton"
0,1,"Mod","sliLib",31,"HS","$60K-$75K","Dole"
3500,7,"Lib","Con",34,"Coll","$7K-$9K","Clinton"
16,7,"extLib","extCon",34,"HS","$105Kplus","Dole"
18,3,"Lib","sliCon",39,"MAdeg","$60K-$75K","Dole"
0,5,"Con","sliCon",51,"HS","$50K-$60K","Clinton"
640,0,"sliLib","sliCon",24,"BAdeg","$12K-$13K","Clinton"
0,7,"sliLib","extCon",43,"MAdeg","$105Kplus","Clinton"
